title,colorName,colorCode,size,stock,price,image
Cqbatch41,Black,#000000,S,100,10.5,/black.png
Cqbatch42,Red,#000000,S,100,10.5,/red.png
Cqbatch32,Black,#000000,S,100,10.5,/black.png
Cqbatch33,Red,#000000,S,100,10.5,/red.png
Cqbatch34,Yellow,#000000,S,100,10.5,/yellow.png
Cqbatch35,Black,#000000,S,100,10.5,/black.png
Cqbatch46,Red,#000000,S,100,10.5,/red.png
Cqbatch Cargo Pants67,Red,#000000,31,100,10.5,/red.png
Cqbatch Cargo Pants68,Black,#000000,34,100,10.5,/red.png
aCqbatch41,Black,#000000,S,100,10.5,/black.png
sCqbatch42,Red,#000000,S,100,10.5,/red.png
aCqbatch32,Black,#000000,S,100,10.5,/black.png
aCqbatch33,Red,#000000,S,100,10.5,/red.png
aCqbatch34,Yellow,#000000,S,100,10.5,/yellow.png
aCqbatch35,Black,#000000,S,100,10.5,/black.png
aCqbatch46,Red,#000000,S,100,10.5,/red.png
aCqbatch Cargo Pants67,Red,#000000,31,100,10.5,/red.png
aCqbatch Cargo Pants68,Black,#000000,34,100,10.5,/red.png
bCqbatch41,Black,#000000,S,100,10.5,/black.png
bCqbatch42,Red,#000000,S,100,10.5,/red.png
bCqbatch32,Black,#000000,S,100,10.5,/black.png
bCqbatch33,Red,#000000,S,100,10.5,/red.png
bCqbatch34,Yellow,#000000,S,100,10.5,/yellow.png
bCqbatch35,Black,#000000,S,100,10.5,/black.png
bCqbatch46,Red,#000000,S,100,10.5,/red.png
bCqbatch Cargo Pants67,Red,#000000,31,100,10.5,/red.png
bCqbatch Cargo Pants68,Black,#000000,34,100,10.5,/red.png
