title,colorName,colorCode,size,stock,price,image
Polo Shirt,Red,#FF0000,M,45,24.99,/red.png
Cargo Pants,Black,#000000,34,28,54.99,/black.png
Running Shoes,White,#FFFFFF,9,50,69.99,/white.png
Winter Coat,Yellow,#FFFF00,L,20,149.99,/yellow.png
Sweatpants,Black,#000000,M,60,34.99,/black.png
Formal Shirt,White,#FFFFFF,L,55,29.99,/white.png
Baseball Cap,Red,#FF0000,Free,100,14.99,/red.png
Wool Sweater,Yellow,#FFFF00,L,25,59.99,/yellow.png
Denim Jacket,Black,#000000,M,30,89.99,/black.png
Flip Flops,White,#FFFFFF,10,70,19.99,/white.png
Flip Flops,Red,#FF0000,10,70,19.99,/red.png
